Video_ID,Title,Channel,Published_At,Views,Likes,Comments,Duration_Seconds,Engagement_Rate_%
lkF2pt6q27A,Indian Army Tank Convoy | Powerful Movement Through Dense Jungle | Military Operation 2025 #shorts,RV life journey ,2025-07-25T02:50:38Z,2386285,0,72,9,0.0030172422824599745
xz8htb5-8wM,Army Madical #army #defenceacademy #trending #armylover #1600mtrruning #armylife #viral #shorts,Defence Defender Ravinder Fouji,2025-07-25T08:29:37Z,59471244,219564,1768,14,0.37216642046364456
aTkQyehPGY0,Service Rifles of Indian Army: 1947-Present #shorts #short,Defence Tech Elite,2025-07-28T07:57:56Z,6864893,26373,98,7,0.3855996007512426
e-1L76ITIkI,The Indian Army has recently inducted 100 robotic mules (Multi-Utility Legged Equipment)# Army,Sandhya Chauhan (Radhe Krishna),2025-01-10T16:07:35Z,2922842,56072,422,12,1.9328448133700007
dYKKYkrMp_g,Top 5 Future Indian Military Weapons with Insane Price! (2025–2030)#IndianMilitary #indiandefence,Top 5 Trigger ,2025-08-02T16:26:57Z,1235134,4254,75,5,0.3504882871008328
6oUTjpRLClI,Indian Army Soldiers Intense Training Drill #army #shrots,Specialarmy,2025-07-11T02:39:09Z,3292129,28883,80,9,0.8797650395838073
fV5wWRIXxcI,Indian Army kahi bhi bridge bana sakti hai! #army,CarDekho,2024-03-18T10:30:12Z,32757068,1212943,1560,49,3.7076059432425397
IVhHrvvnh0c,India’s S-400 Missile Shield: Sudarshan Chakra Explained!”,Rainbow joys,2025-07-12T00:52:55Z,1049884,7377,32,9,0.70569701033638
7ikwcwlE8M4,Can we join Infantry via Technical Entry,Defence Direct Education,2024-02-01T03:56:10Z,140154,9650,55,46,6.924525878676313
2bpZ7I8WyTQ,Top 4 countries with advanced drone technology#youtubeshorts #indianarmy #army #military #drone #uav,Epic Defence Education,2025-10-22T07:30:01Z,57394,0,14,5,0.024392793671812383
r1ZM2vXiVvs,10 Secret Indian Army Tech 🇮🇳,Tech Burner,2025-12-13T15:27:04Z,1378799,42084,3469,1922,3.303817307671386
lJ_Smaf3iE8,China VS Indian Army Power 🔥☠️🪖⚔️ #china #indianarmy #itbp #india #army #soldier #military #power,Indian Fauji •B,2025-05-27T03:06:40Z,3644977,69764,979,17,1.9408352919648053
nfwxJfI-lUE,All about Technical Entry Scheme to join Military✅✅#military #indianarmy #tes #technicalentryscheme,Vedantu JEE Made Ejee,2024-07-09T11:30:21Z,643237,20239,120,41,3.1650853417947036
0uUnG7zavxo,India Vs China Military Power 2025,Gravity,2025-07-31T12:01:18Z,858791,5946,4607,415,1.2288205162839387
LzSZRoKTr48,Indian Army Vs US Army - Which One Is Better? | Col. Shivender Kanwar | Raj Shamani Clips,Raj Shamani Clips,2024-08-13T16:15:01Z,1852601,38198,2662,312,2.205547767706052
5dolasxZxnE,Power of army || power of army officer #indianarmy #viralshort | 2025,Sainik Pariwar,2024-09-07T16:39:27Z,8093356,228704,766,22,2.8352885996859643
udhjH7FXlHo,Top 10 DRDO Projects for Indian Army #indianarmy #defensetechnology #drdo #ytshorts,The Story Panti,2025-06-30T13:48:34Z,25691,313,3,12,1.2300027246895802
