Video_ID,Title,Channel,Published_At,Views,Likes,Comments,Duration_ISO
lkF2pt6q27A,Indian Army Tank Convoy | Powerful Movement Through Dense Jungle | Military Operation 2025 #shorts,RV life journey ,2025-07-25T02:50:38Z,2386285,0,72,PT9S
xz8htb5-8wM,Army Madical #army #defenceacademy #trending #armylover #1600mtrruning #armylife #viral #shorts,Defence Defender Ravinder Fouji,2025-07-25T08:29:37Z,59471244,219564,1768,PT14S
aTkQyehPGY0,Service Rifles of Indian Army: 1947-Present #shorts #short,Defence Tech Elite,2025-07-28T07:57:56Z,6864893,26373,98,PT7S
e-1L76ITIkI,The Indian Army has recently inducted 100 robotic mules (Multi-Utility Legged Equipment)# Army,Sandhya Chauhan (Radhe Krishna),2025-01-10T16:07:35Z,2922842,56072,422,PT12S
dYKKYkrMp_g,Top 5 Future Indian Military Weapons with Insane Price! (2025–2030)#IndianMilitary #indiandefence,Top 5 Trigger ,2025-08-02T16:26:57Z,1235134,4254,75,PT5S
6oUTjpRLClI,Indian Army Soldiers Intense Training Drill #army #shrots,Specialarmy,2025-07-11T02:39:09Z,3292129,28883,80,PT9S
fV5wWRIXxcI,Indian Army kahi bhi bridge bana sakti hai! #army,CarDekho,2024-03-18T10:30:12Z,32757068,1212943,1560,PT49S
IVhHrvvnh0c,India’s S-400 Missile Shield: Sudarshan Chakra Explained!”,Rainbow joys,2025-07-12T00:52:55Z,1049884,7377,32,PT9S
7ikwcwlE8M4,Can we join Infantry via Technical Entry,Defence Direct Education,2024-02-01T03:56:10Z,140154,9650,55,PT46S
2bpZ7I8WyTQ,Top 4 countries with advanced drone technology#youtubeshorts #indianarmy #army #military #drone #uav,Epic Defence Education,2025-10-22T07:30:01Z,57394,0,14,PT5S
r1ZM2vXiVvs,10 Secret Indian Army Tech 🇮🇳,Tech Burner,2025-12-13T15:27:04Z,1378799,42084,3469,PT32M2S
lJ_Smaf3iE8,China VS Indian Army Power 🔥☠️🪖⚔️ #china #indianarmy #itbp #india #army #soldier #military #power,Indian Fauji •B,2025-05-27T03:06:40Z,3644977,69764,979,PT17S
nfwxJfI-lUE,All about Technical Entry Scheme to join Military✅✅#military #indianarmy #tes #technicalentryscheme,Vedantu JEE Made Ejee,2024-07-09T11:30:21Z,643237,20239,120,PT41S
0uUnG7zavxo,India Vs China Military Power 2025,Gravity,2025-07-31T12:01:18Z,858791,5946,4607,PT6M55S
LzSZRoKTr48,Indian Army Vs US Army - Which One Is Better? | Col. Shivender Kanwar | Raj Shamani Clips,Raj Shamani Clips,2024-08-13T16:15:01Z,1852601,38198,2662,PT5M12S
5dolasxZxnE,Power of army || power of army officer #indianarmy #viralshort | 2025,Sainik Pariwar,2024-09-07T16:39:27Z,8093356,228704,766,PT22S
udhjH7FXlHo,Top 10 DRDO Projects for Indian Army #indianarmy #defensetechnology #drdo #ytshorts,The Story Panti,2025-06-30T13:48:34Z,25691,313,3,PT12S
9s74IvtvcBE,Indian Army Science Project #shorts #science #technology #trending #experiment,VMK Technical Power,2023-09-15T01:30:06Z,12761743,542159,243,PT14S
DfCKJK182nI,"Indian Airforce, Navy & Army Tech Exam Qualified at Age 19 | Success Story | Cadets Defence Academy",English by Sanjeev Thakur,2025-09-16T10:03:04Z,95644,2929,68,PT9S
lMNrLworgfg,7 Indian Army Tech You Didn't Know About !,Tech Burner,2024-08-15T09:36:54Z,646915,29487,925,PT9M54S
OyC-b87GyWA,Game Changer weapons India acquired in 2024 #INDIA #weapons,StudyIQ IAS,2024-12-29T08:28:01Z,585228,52572,197,PT1M1S
VFHbk6YvI7M,Indian Army’s 1986 Bofors Gun - 155mm field Howitzer #india #defence #army #indianarmy,CK FILMZ,2023-05-09T15:26:53Z,436032,4695,25,PT10S
E1c_6gj_RPo,Full List of Drones Used by the Indian Army,Defence Insight,2025-03-07T07:45:06Z,87221,1749,40,PT19M58S
Ye6EJbqwCkI,India Vs Pakistan Military Power 2024,Gravity,2024-07-04T20:40:05Z,12198502,78057,14093,PT8M47S
d8bVzGTn_zs,"Indian Army Safety Project, Inspire Award Project, RFID Based Security Project #science #technology",VMK Technical Power,2023-01-19T01:30:09Z,274389,2287,11,PT16S
Rwltvf-4_fo,Is India Ready to Use AI in Its Military? Indian Army Chief Answers | Palki Sharma,Firstpost,2024-10-01T07:24:33Z,5269,147,5,PT2M42S
Oq1TKj9pZ7w,Indian Army’s BHAYANKAR Protection For Indian Borders #shorts,FactTechz,2025-07-01T00:30:18Z,1947562,177271,822,PT58S
pAXX_ERbsYk,Top 25 Most Powerful Weapons of India in 2026: India's Military Strength,The Buzz,2026-03-06T18:09:35Z,51470,1261,80,PT9M50S
GQa_xOvky8I,Indian ARMY Gets ‘INVISIBLE in Radar’ 5th Gen FIGHTER JETS - #shorts,FactTechz,2025-05-30T00:30:12Z,6117316,375925,2062,PT50S
RVjH40gFyes,Service Rifles🔥of Indian Army & Pakistan Army | 2025 Updated Weapons Explained! #shorts,Defence Tech Elite,2025-07-11T13:00:40Z,1759270,8320,126,PT6S
LuoTCRr5xAQ,HILD defence introduces lightest ISR drone for Indian Armed Forces,Technical Astra,2026-05-28T11:42:15Z,8066,500,56,PT5M28S
eKpwnWrLVQQ,Indian Army is weak? - Al Jazeera thinks so,Abhi and Niyu,2024-01-15T11:38:23Z,4318843,389713,5576,PT1M
0z4LKfkr9GE,KALI Weapon Reality | India’s Deadliest Secret Weapon | 😱 #shortsfeed,Syamshallu Knowledge ,2025-06-24T08:36:43Z,341591,0,105,PT24S
ivgd9SsH4zI,Legendary Indian Army Firearms🔥Designer & Induction year #shorts,Defence Tech Elite,2025-10-17T07:13:12Z,108024,662,6,PT7S
0jRYwLlUPjs,3 Powerful Indian Military Drones! 🤯⚔️,The Dig Files,2025-05-01T00:30:00Z,917755,0,44,PT42S
MmPbhYIR1cg,12 Best Ways for Women to Join Indian Armed Forces in 2025,Defence Updates by SSBCrackExams,2025-04-07T07:24:26Z,412350,16009,40,PT1M
-h40wqlP3ng,Join Indian Army by TGC✅✅#tgc #indianarmy #military #indianmilitary #lieutenant #army #defence,Vedantu JEE Made Ejee,2024-07-10T03:30:00Z,179127,5644,37,PT45S
882DDLPdfPM,Indian Army Drone Test : 4 missiles  #MissileDrone #drone #indianarmy #army #defence #india,XiLiR Technologies,2025-05-29T16:16:32Z,96039,893,21,PT18S
UaYgOMo-hTs,India vs China | Military Power & Defense Budget 2025,The Comparison Zone,2025-06-22T03:31:17Z,1011767,3848,458,PT6S
wVbza85gZ2E,Power Of S-400 defence System 🔥🙏🙌 | Indian Army Status In Telugu Venu Kalyan #pahalgam #s400missile,Telugu Business Talks with Venu Kalyan,2025-05-15T12:31:13Z,4101822,194334,718,PT1M
mU8maCdZt60,An Artillery Shell..💀🔥 #ytshorts #army #artillery #trending,Dark Horse,2025-08-14T10:01:21Z,12105622,223544,582,PT13S
ZjYFOj9mfVI,"India’s Most Dangerous Missiles 2025🔥| Agni-V, BrahMos-II All Categories Covered! #shorts #army",Defence Tech Elite,2025-08-13T12:30:15Z,974139,3935,26,PT6S
110Pkwk7wW8,Technical Army Work / Promotion and Rank  full Information ll Technical Army Ki poori जानकारी,Army Officials,2025-01-14T02:23:42Z,35572,712,94,PT3M32S
C3PeoDHkR_o,Indian Army’s Game-Changing Tech in Operation Sindoor! | Curly Tales #shorts,Curly Tales ,2025-06-22T11:56:27Z,51851,3409,32,PT1M1S
0cPKVFxBTtM,Indian Army vs Chinese Army: Real Comparison!,ITS~SCROLLING*,2025-07-15T15:45:00Z,213846,3282,116,PT16S
cVUF9AP3w2A,Indian Armed Forces Female Officers ll Indian Army Edits #army #indianarmy #women #womenempowerment,Defence Editzz ,2025-04-20T06:15:58Z,337904,8893,27,PT18S
_vplhsU1VGk,"Indian Army Safety Project, Missile Launcher #shorts #science #technology #trending",VMK Technical Power,2023-08-07T01:30:18Z,225037,4990,23,PT15S
kdGa09Wu7Os,Join Indian Army Common Entrance Exam CEE Recruitment 2025 Apply Online FormIndian Army recruitment,India Buzz TV,2025-03-18T04:39:49Z,1913560,6884,33,PT6S
SKYcxvNMhao,5 ways to join Indian Armed Forces. #shorts #indianarmy #indiannavy,Ritik Meghwani,2025-02-26T13:50:35Z,1984716,111325,512,PT59S
6JnnPiMgyqg,Indian Army 122 mm 'Upgraded' Grad Multi Barrel Rocket Launcher Firing at Devlali Range,Delhi Defence Review,2020-01-16T14:38:25Z,2993537,9158,206,PT20S
